problem,base_model_score_x,tuned_model_score_x,base_model_score_y,tuned_model_score_y,mean_base,abs_diff_base,mean_tuned,abs_diff_tuned
HumanEval_106_f,14,14,13,12,13.5,1,13.0,2
HumanEval_122_add_elements,14,14,15,15,14.5,1,14.5,1
HumanEval_12_longest,5,10,9,11,7.0,4,10.5,1
HumanEval_13_greatest_common_divisor,15,15,15,15,15.0,0,15.0,0
HumanEval_152_compare,14,14,13,14,13.5,1,14.0,0
HumanEval_153_Strongest_Extension,8,12,11,10,9.5,3,11.0,2
HumanEval_157_right_angle_triangle,15,11,15,9,15.0,0,10.0,2
HumanEval_21_rescale_to_unit,14,14,12,14,13.0,2,14.0,0
HumanEval_22_filter_integers,15,15,15,15,15.0,0,15.0,0
HumanEval_23_strlen,15,15,15,15,15.0,0,15.0,0
HumanEval_27_flip_case,12,11,13,11,12.5,1,11.0,0
HumanEval_28_concatenate,15,14,15,14,15.0,0,14.0,0
HumanEval_30_get_positive,14,15,14,15,14.0,0,15.0,0
HumanEval_31_is_prime,13,9,13,11,13.0,0,10.0,2
HumanEval_35_max_element,12,12,12,11,12.0,0,11.5,1
HumanEval_42_incr_list,14,15,14,15,14.0,0,15.0,0
HumanEval_45_triangle_area,15,15,15,15,15.0,0,15.0,0
HumanEval_46_fib4,14,13,14,14,14.0,0,13.5,1
HumanEval_48_is_palindrome,13,13,14,12,13.5,1,12.5,1
HumanEval_4_mean_absolute_deviation,14,15,13,13,13.5,1,14.0,2
HumanEval_51_remove_vowels,14,12,12,10,13.0,2,11.0,2
HumanEval_52_below_threshold,15,12,15,12,15.0,0,12.0,0
HumanEval_53_add,15,15,15,15,15.0,0,15.0,0
HumanEval_55_fib,14,14,14,14,14.0,0,14.0,0
HumanEval_59_largest_prime_factor,14,14,12,12,13.0,2,13.0,2
HumanEval_5_intersperse,14,14,14,14,14.0,0,14.0,0
HumanEval_60_sum_to_n,15,14,15,14,15.0,0,14.0,0
HumanEval_63_fibfib,14,14,14,14,14.0,0,14.0,0
HumanEval_66_digitSum,14,15,15,15,14.5,1,15.0,0
HumanEval_72_will_it_fly,11,10,11,11,11.0,0,10.5,1
HumanEval_79_decimal_to_binary,14,13,14,13,14.0,0,13.0,0
HumanEval_7_filter_by_substring,15,15,15,12,15.0,0,13.5,3
HumanEval_82_prime_length,13,8,12,10,12.5,1,9.0,2
HumanEval_8_sum_product,10,8,9,8,9.5,1,8.0,0
HumanEval_9_rolling_max,14,6,12,10,13.0,2,8.0,4
total,471,450,469,445,470.0,2,447.5,5
