StepNum,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
588,1,0.0736024844720497,161,20,20
1176,1,0.06987577639751553,161,20,20
1764,1,0.07111801242236024,161,20,20
2352,1,0.08478260869565217,161,20,20
2940,1,0.10652173913043478,161,20,20
3528,1,0.10403726708074534,161,20,20
4116,1,0.10652173913043478,161,20,20
4704,1,0.11335403726708075,161,20,20
5292,1,0.10714285714285714,161,20,20
5880,1,0.11149068322981366,161,20,20
6468,1,0.10900621118012423,161,20,20
7056,1,0.09192546583850932,161,20,20
7644,1,0.11118012422360248,161,20,20
8232,1,0.10062111801242235,161,20,20
8820,1,0.10496894409937887,161,20,20
9408,1,0.10807453416149067,161,20,20
9996,1,0.11428571428571428,161,20,20
10584,1,0.10465838509316772,161,20,20
11172,1,0.0922360248447205,161,20,20
11760,1,0.10714285714285714,161,20,20
12348,1,0.0953416149068323,161,20,20
12936,1,0.11583850931677017,161,20,20
13524,1,0.11397515527950311,161,20,20
14112,1,0.11490683229813664,161,20,20
